,Date,User,Text
0,September 28,benjaminhf,"This seems like a good deal in terms of used entry-level luxury—a 2015 Acura TLX 2.4 with 50k miles for $15.9k:

https://www.acuraatoxmoor.com/used/Acura/2015-Acura-TLX-fcaa14f30a0e0a6b0a96f79e5affff39.htm

Strange but true, this is c.$2000 less than a 2015 Accord EXL with about the same miles at another local dealer:

https://www.louisvillehondaworld.com/used-Jefferson+County-2015-Honda-Accord-EX+L-1HGCR2F83FA029458

Having owned four Accords, I can say that in almost every way a TLX is significantly better than an Accord. The rear seat is a little less roomy in the TLX, but otherwise...."
1,September 28,stickguy,"nice color combo on the TLX. But I really don't like these without the tech package. At least the 2018s base have a lot more stuff on them.
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
2,September 28,benjaminhf,"Yeah, the Tech package for the TLX is expensive (c.$3700 iirc), but it does add some nice stuff—blind spot monitors, cross traffic alert, ELS sound system, Milano leather seats (which even smell nice imho), rain-sensing wipers, built-in navi (which I have used a few times), and AcuraLink concierge (which I've not yet used at all). Plus, as you say, the 2018s and later get CarPlay/AndroidAuto as well as Acurawatch.

But for about the price of a new base Elantra, I'd say that I'd take the TLX for 15.9k any day. Still has that nice engine and transmission combo, 4-wheel steering, etc., etc."
3,October 3,benjaminhf,"Thinking about the idea @stickguy had of keeping an Acura for ten years, I came across videos by a guy named Tyson Hugie who has over 200,000 miles on his Acura ILX, and over half a million miles on his Legend. This is making me think that if I take care of it, drive carefully, and have some luck, that keeping my 2018 TLX past 100k might be possible. I already have over 5000 miles on it, even though I've only leased it for a little over 3 months. (My wife's 2018 CR-V already has about 6k miles on it.) Anyway, here's the video about his ILX. His 25 year old Legend has made it past 500k with its original engine and transmission."
4,October 3,benjaminhf,"Entry level luxury sedan sales for last month. Lexus seems to be doing well....

CLA 2,377 +16.9%
A3 1,759 -9%
ILX 930 -20.9%
2series 630 -32.8%


ES 5,206 +28%
Cclass 4,682 -24.4%
3series 3,615 -40.2%
A4 3,185 +11%
Q60 2,075 -37.8%
TLX 2,064 -15.6%
MKZ 1,886 -7.7%
IS 1,798 -9.2%
Giulia 756 -17%
S60 582 -46.7%
G70 1"
5,October 3,stickguy,"Ouch
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
6,October 4,benjaminhf,"But falling sales for ELL cars probably helps to make for the possibility of good deals....

Perhaps I'm the only one to regret it, but it looks like starting next year that lower-powered ELLs won't really be available. Currently the 320i has a 0-60 time, according to BMW, of 7.1 seconds. The Acura TLX 2.4 I have has been timed at 6.9 seconds, which is fast enough for me (and about half a second faster than my 2016 Accord CVT). But for the new generation of 3-series coming up it looks like they've not only eliminated the manual transmission but also taken out the less powerful version. So the lowest level of 2019 330i will have a 0-60 time of less than 6 seconds—but it will also cost c.$6k more than the current bottom-of-the-line 320i. Rumors are that the all-new 2020 Acura TLX will also have an standard 2-liter turbo engine with similar power and acceleration.

That's probably what almost all ELL buyers want in terms of power and acceleration, but once the least expensive 3-series starts at c.$42k msrp before options it might be out of reach for some who might otherwise buy it.

And I'm enjoying that on highway drives without ac I can get as much as 40 mpg with my 2018 TLX with the naturally aspirated 2.4 with the 8-speed transmission. I don't think a 2020 TLX with the 2.0 turbo will be able to get more than maybe 35 on the same drive, but obviously I don't know for sure. I assume that as with the 330i there will be a big price jump for the 2020 TLX. I could afford the current TLX, but the next one might be too rich for my blood....

Finally, if you really are trying to keep a car past 10 years and 100k miles, then perhaps a naturally aspirated engine might be more reliable in the long run?"
7,October 4,stickguy,"But, will be nice if they keep the pricing like the 4, but it has performance of the V6 which I assume is going away.
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
8,October 4,benjaminhf,"stickguy said:
But, will be nice if they keep the pricing like the 4, but it has performance of the V6 which I assume is going away.
Yeah, given falling sales for almost all entry-level cars, Acura might not have much room to raise prices.

Here's my guess....the msrp for the base model 2020 TLX might only go up by c.$2k or so, but at the same time (as with the Accord) they will really cut back on lease incentives. In other words, my guess is that the ""real"" price increase might be more like $5k—almost the same price increase as for the BMW 330i—although like today a TLX will still undercut a comparable 330i by thousands of collars. My lease deal was almost too good, in that I could lease a TLX 2.4 Tech for less than an Accord EXL 2.4. I think that will almost certainly not be possible for the 2020 TLX."
9,October 4,stickguy,"Most of the time, when I have checked, the Acura lease offers were not particularly good. I think you were right place, right time!

I could see the redesign base model being priced like the current tech car, but with some of those features standard.
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
