words,count,classification
2015,1408,
one,1065,
like,1026,emotions
2018,1012,
car,983,
would,954,
2014,935,
get,880,
2017,795,
new,679,durability
good,664,performance
time,657,durability
think,644,
back,585,
need,572,emotions
know,555,
show,551,
much,517,
go,504,
previous,502,
really,494,
got,493,
2013,492,
quotes,477,
years,475,durability
could,472,
2016,463,
well,458,
see,457,
sport,454,performance
cars,451,
vehicle,442,performance
even,439,
2008,437,
still,417,
people,415,
wifes,413,emotions
mine,400,
name,399,
going,398,
way,395,
mustang,392,
year,383,
2009,372,
long,367,
first,365,
take,364,
lot,363,
last,362,
make,362,
never,360,
share,355,
right,348,
gt,347,
reviews,342,
2011,339,
thats,327,
better,325,
sure,324,
moderator,321,
around,318,
help,316,
2000,316,
probably,315,
2004,313,
also,310,
us,302,
convertible,300,features
old,299,
want,299,
buy,298,
two,298,
pretty,297,
drive,291,performance
used,289,
great,288,
anything,286,
many,284,
miles,283,performance
something,283,
pt,281,
van,280,
cruiser,278,
day,274,
nice,273,
another,270,
since,268,
cant,265,
little,264,
always,260,
put,257,
ford,255,
dealer,254,
use,250,
say,247,
sonata,246,
thing,244,
2,243,
home,241,
work,239,
least,238,
find,234,
best,233,performance
made,232,
may,231,
getting,231,
driving,228,performance
coupe,228,
price,224,profitability
though,224,
maybe,223,
big,223,
bad,222,emotions
every,221,
next,220,
keep,216,
things,213,
went,213,
3,212,
17,211,
performance,209,performance
sh,209,
bought,206,
seems,204,
thought,204,
money,202,profitability
actually,200,
14,200,
ago,199,
remember,199,
send,198,
days,198,
start,198,
today,197,
mike,196,
might,195,
look,195,features
looking,195,features
ill,190,emotions
less,189,
id,189,
engine,185,performance
bit,185,
end,184,
company,184,profitability
problem,184,performance
different,184,features
enough,182,features
took,182,
cobalt,182,
away,178,
message,178,
months,177,durability
private,177,
almost,175,
deal,174,
guess,174,
click,174,
give,173,
high,173,performance
premium,172,features
speed,172,performance
love,172,emotions
come,170,
5,170,
ever,169,
gm,168,
came,167,
thanks,167,emotions
pay,166,profitability
touring,165,
4,164,
done,164,
clicking,163,
point,163,
cost,162,profitability
road,161,
etc,160,
wife,160,
feel,160,emotions
anyone,160,
couple,157,
try,157,
low,155,
10,154,
kind,153,
guy,151,
real,151,
part,151,
told,151,
without,150,
looks,150,features
wont,150,
someone,149,
times,148,
place,148,
week,148,
holiday,147,
1968,145,
front,144,
cutlass,144,
hope,144,emotions
36,143,
service,142,performance
check,142,
found,141,
wanted,139,
problems,139,performance
believe,139,
let,139,
saw,138,
change,138,
course,137,
sounds,137,features
1999,136,
hard,136,
1,134,
gets,134,
model,133,
paid,133,profitability
live,133,
town,133,
6,132,
drove,132,performance
club,131,
set,131,
hit,130,
case,129,
either,129,
month,128,
16,128,
read,128,
several,128,
far,127,
gas,127,performance
heard,126,
note,126,
called,126,
small,126,features
vehicles,126,
call,125,
world,125,
business,125,profitability
yes,124,
driver,124,features
seem,123,
must,123,
quite,122,
early,122,
sell,122,profitability
left,121,
morning,121,
makes,121,
term,121,
weeks,121,
area,121,
house,120,
country,120,
tires,120,features
run,119,performance
trying,119,
wrangler,119,
2001,119,
oil,119,performance
outback,118,
warranty,117,durability
worth,116,profitability
local,114,
power,114,performance
coming,114,
life,114,
already,113,
buying,113,
fun,113,emotions
cup,112,
however,112,
side,112,
type,112,features
theres,112,
purchased,112,profitability
care,111,
often,111,
assistance,111,features
rear,110,features
guys,110,
issue,110,
given,109,
wonder,109,
else,109,
large,109,features
top,108,
usually,107,
happy,107,emotions
full,107,
system,105,features
ls,105,
seen,105,
sons,105,
volt,105,features
leased,104,
sales,104,profitability
460,104,
tell,104,
interesting,104,features
encore,103,
nothing,102,
market,102,profitability
570,102,
1996,102,
wrong,102,
convenience,102,emotions
pilot,102,
close,101,
asked,101,
late,100,
limited,100,
light,100,features
lots,100,
premiere,100,features
12,100,
everything,100,
needed,100,
thinking,99,
wheels,99,
agree,99,
later,98,
yet,98,
using,98,
cooper,98,
rather,98,
ones,97,
number,97,
issues,97,
night,97,
news,97,
golf,96,
taking,96,
challenge,96,
1995,96,
triple,96,
replica,96,
crew,96,
stuff,95,
experience,95,
post,95,
matter,95,
versa,95,
hear,95,
able,94,
brand,94,
insurance,94,
store,94,
test,94,
family,94,
gave,94,
state,93,
due,93,
mean,93,
goes,93,
TRUE,92,
roadside,92,
oh,91,
reason,90,
comes,90,
supposed,90,
says,89,
line,89,
along,89,
looked,88,
making,87,
20,87,
fine,87,
happened,87,
minutes,87,
likely,87,
black,86,
owned,85,
models,85,
story,85,
finally,84,
customer,84,
fix,84,
companies,84,
soul,84,
difference,84,
open,84,
friend,84,
sorry,83,
room,82,
door,82,
optima,82,
consider,82,
fact,82,
started,82,
glad,82,
past,81,
idea,81,
prices,81,
100,81,
trade,81,
yesterday,81,
wait,80,
wheel,80,
especially,80,
stop,80,
phone,80,
hours,80,
expensive,79,
liked,79,
8,79,
worked,79,
whole,78,
knew,78,
tried,78,
sometimes,78,
near,77,
pick,77,
working,77,
based,77,
add,76,
anyway,76,
value,76,
play,76,
possible,75,
similar,75,
interior,75,
mostly,75,
red,75,
drivers,75,
navigating,75,
cab,75,
truck,75,
yeah,74,
behind,74,
parking,74,
amount,74,
mini,74,
easy,74,
engines,74,
30,74,
ask,74,
others,73,
works,73,
enjoy,73,
per,73,
quickly,73,
500,72,
instead,72,
dealers,72,
short,72,
understand,72,
tire,72,
mileage,72,
selling,71,
dealership,71,
driven,71,
huge,71,
prelude,71,
sold,71,
takes,71,
stopped,71,
plus,70,
soon,70,
turn,70,
friends,70,
free,70,
50,70,
sound,69,
steering,69,
half,69,
everyone,69,
head,69,
hour,69,
whatever,69,
major,69,
blood,68,
current,68,
toy,68,
grand,68,
city,68,
lost,68,
auto,68,
move,68,
countryman,68,
order,68,
happen,68,
15,68,
three,68,
means,67,
stick,67,
older,67,
stay,67,
luck,66,
gone,66,
shop,66,
longer,66,
north,66,
totally,66,
rest,66,
ended,66,
son,66,
recall,66,
list,66,
sort,66,
fuel,66,
man,66,
second,65,
school,65,
white,65,
7,65,
turned,65,
definitely,65,
traffic,64,
fast,64,
certainly,64,
mentioned,64,
ride,64,
unless,64,
sense,64,
leave,64,
hospital,64,
expect,64,
taken,63,
although,63,
cheap,63,
higher,63,
air,63,
shows,62,
dad,62,
center,62,
certain,62,
history,62,
whether,62,
